"","full_text","Handle","text"
"37","RT @charlescwcooke: This is a terrific video. Laughed out loud at the “fat dude with a mullet” line.","ben","RT  charlescwcooke  This is a terrific video  Laughed out loud at the  fat dude with a mullet  line "
"38","Disney's Bob Iger just said his company should return to political neutrality. Why?

Maybe because Disney decided to insert itself into politics, and parents punished them for it. Take your money elsewhere, and companies like Disney will eventually listen. https://t.co/bHoo29nVlc","ben","Disney s Bob Iger just said his company should return to political neutrality  Why 

Maybe because Disney decided to insert itself into politics  and parents punished them for it  Take your money elsewhere  and companies like Disney will eventually listen  "
"39","RT @realDailyWire: Crowd member: ""Four more years!""

Biden: ""I don't know about that.""

https://t.co/4YiONHEsjM","ben","RT  realDailyWire  Crowd member   Four more years  

Biden   I don t know about that  

"
"40","RT @joelpollak: No, what she's really objecting to is that one human being is reversing censorship so that politicians like her can't go in…","ben","RT  joelpollak  No  what she s really objecting to is that one human being is reversing censorship so that politicians like her can t go in "
"41","RT @senatorshoshana: JFC","ben","RT  senatorshoshana  JFC"
"42","RT @AviMayer: When we talk about ethnic cleansing in the Middle East, this is what it looks like.","ben","RT  AviMayer  When we talk about ethnic cleansing in the Middle East  this is what it looks like "
"43","RT @davidadamcone: To Iranian propaganda “reporters” - if anyone is going to criticize our soccer team, it’s going to be us!
#GETOFFMYLAWN…","ben","RT  davidadamcone  To Iranian propaganda  reporters    if anyone is going to criticize our soccer team  it s going to be us 
 GETOFFMYLAWN "
"44","RT @AlinejadMasih: Breaking news;

Iran’s official news agency announced that, 15  protesters including three teenagers were charged with ""…","ben","RT  AlinejadMasih  Breaking news 

Iran s official news agency announced that  15  protesters including three teenagers were charged with   "
"45","RT @greg_price11: Biden: ""[Jill] spent a lot of time on Indian reservations. I'm worried she's not going to come home one of these days. Yo…","ben","RT  greg price11  Biden    Jill  spent a lot of time on Indian reservations  I m worried she s not going to come home one of these days  Yo "
"46","RT @wesyang: Long convoluted chain of influence here, but this is how major corporations end up punishing local school boards in red states…","ben","RT  wesyang  Long convoluted chain of influence here  but this is how major corporations end up punishing local school boards in red states "
"47","RT @TheAtlantic: “The philosophy of ‘How to Build a Life’ is simple: You can be happier if you do the work to understand yourself, practice…","ben","RT  TheAtlantic   The philosophy of  How to Build a Life  is simple  You can be happier if you do the work to understand yourself  practice "
"48","RT @DylanByers: Scoop @PuckNews: The long-anticipated CNN layoffs, expected to target hundreds of employees, are underway as of today…","ben","RT  DylanByers  Scoop  PuckNews  The long anticipated CNN layoffs  expected to target hundreds of employees  are underway as of today "
"49","RT @wil_da_beast630: THIS is why inter-racial marriage - which is literally protected by the Civil Rights Act, Loving v Virginia, etc...and…","ben","RT  wil da beast630  THIS is why inter racial marriage   which is literally protected by the Civil Rights Act  Loving v Virginia  etc   and "
"50","RT @KWaggonerADF: My @ADFLegal colleague @ryanlbangert said it well ⬇️⬇️⬇️
https://t.co/bZHJfpLhub https://t.co/GAH6x5xwl7","ben","RT  KWaggonerADF  My  ADFLegal colleague  ryanlbangert said it well 
"
"51","RT @GorinMoti: One of the letters to the editor responding to the recent NYT piece on the use of puberty blockers, written by one of the pr…","ben","RT  GorinMoti  One of the letters to the editor responding to the recent NYT piece on the use of puberty blockers  written by one of the pr "
"52","RT @KateHydeNY: Sam Brinton's style makes way more sense when you realize he's just wearing whatever he finds in other people's luggage. ht…","ben","RT  KateHydeNY  Sam Brinton s style makes way more sense when you realize he s just wearing whatever he finds in other people s luggage  ht "
"53","RT @CasuallyGreg: We’re totally not grooming your kids, guys. https://t.co/8PhLXkA1Gw","ben","RT  CasuallyGreg  We re totally not grooming your kids  guys  "
"54","RT @MidnightMitch: Incredible https://t.co/Tlt5PSwhd6","ben","RT  MidnightMitch  Incredible "
"55","RT @ConceptualJames: https://t.co/kFnTvBuk0A","ben","RT  ConceptualJames  "
"56","So this is going to be wildly unsuccessful https://t.co/S1khzDzmUc","ben","So this is going to be wildly unsuccessful "
"57","RT @SenMikeLee: https://t.co/6F0LvDWwHc","ben","RT  SenMikeLee  "
"58","RT @loganclarkhall: the “respect for marriage act” will be used to relentlessly persecute christians. imagine the colorado baker harassment…","ben","RT  loganclarkhall  the  respect for marriage act  will be used to relentlessly persecute christians  imagine the colorado baker harassment "
"59","RT @JeremysRazors: 'Tis the season to give to Jeremy and take from those woke companies that hate you.

Help defund Leftist virtue-signaler…","ben","RT  JeremysRazors   Tis the season to give to Jeremy and take from those woke companies that hate you 

Help defund Leftist virtue signaler "
"60","RT @jordanbpeterson: Pfizer CEO? False and misleading statements? About vaccines for children? Say it ain't so, Joe. https://t.co/tRD5fb43Vt","ben","RT  jordanbpeterson  Pfizer CEO  False and misleading statements  About vaccines for children  Say it ain t so  Joe  "
"61","Here is a pic of the beautiful kids, btw, courtesy of the NYT. Explain, if you can, why they should have been killed in the womb. https://t.co/oCK10BBQsy","ben","Here is a pic of the beautiful kids  btw  courtesy of the NYT  Explain  if you can  why they should have been killed in the womb  "
"62","Would the world have been better off if she had killed her twins in the womb? If so, how so?","ben","Would the world have been better off if she had killed her twins in the womb  If so  how so "
"63","In which the NYT pushes the idea that a young mother should have aborted her twins -- who have now been taken in by a loving couple. It's odd how many pro-choice pieces end up being indirectly pro-life. https://t.co/zrUoyEIVet","ben","In which the NYT pushes the idea that a young mother should have aborted her twins    who have now been taken in by a loving couple  It s odd how many pro choice pieces end up being indirectly pro life  "
"64","RT @SethDillon: It's a victory, no question. But it's not as big as many will celebrate it to be. Disney pushed too hard too fast. They'll…","ben","RT  SethDillon  It s a victory  no question  But it s not as big as many will celebrate it to be  Disney pushed too hard too fast  They ll "
"65","RT @barstoolsports: STUNNING NEWS: LIVER KING BUSTED FOR STEROIDS https://t.co/6nUiHIbq6n https://t.co/A1pjZ3ha4l","ben","RT  barstoolsports  STUNNING NEWS  LIVER KING BUSTED FOR STEROIDS "
"66","RT @AviMayer: This is a laughable distortion of both history and reality, which is what you'd expect from a paid propagandist for the Irani…","ben","RT  AviMayer  This is a laughable distortion of both history and reality  which is what you d expect from a paid propagandist for the Irani "
"67","RT @CurtisHouck: Bloomberg's Bobby Ghosh to @NicolleDWallace on MSNBC: ""Already, I'm seeing reports out of Iran that Iranians are celebrati…","ben","RT  CurtisHouck  Bloomberg s Bobby Ghosh to  NicolleDWallace on MSNBC   Already  I m seeing reports out of Iran that Iranians are celebrati "
"68","China is welding people inside their homes in pursuit of zero COVID. It's awful, and yet the White House is nearly silent about protests against the regime.

Maybe that's because for 2 years, the Left wasn't averse to lockdowns -- and still aren't, under the right circumstances. https://t.co/LZ8eUnJjvr","ben","China is welding people inside their homes in pursuit of zero COVID  It s awful  and yet the White House is nearly silent about protests against the regime 

Maybe that s because for 2 years  the Left wasn t averse to lockdowns    and still aren t  under the right circumstances  "
"69","RT @realDailyWire: The Left calls for Amy Coney Barrett to recuse herself from ruling on an LGBTQ+ rights case

@benshapiro: The Left says…","ben","RT  realDailyWire  The Left calls for Amy Coney Barrett to recuse herself from ruling on an LGBTQ+ rights case

 benshapiro  The Left says "
"70","RT @realDailyWire: .@benshapiro reacts to non-binary Biden official stealing woman's luggage: 

""Who would have thought that a person who g…","ben","RT  realDailyWire    benshapiro reacts to non binary Biden official stealing woman s luggage  

 Who would have thought that a person who g "
"71","RT @TwitchyTeam: Nancy Pelosi is the subject of new HBO documentary produced and directed by … her daughter https://t.co/EWMGcTyawF","ben","RT  TwitchyTeam  Nancy Pelosi is the subject of new HBO documentary produced and directed by   her daughter "
"72","My favorite part: Sure, the rules were arbitrary and capricious before, and we had nobody to actually blame for decisionmaking. But now we can blame Musk, because the rules are arbitrary and capricious! https://t.co/c3Idqf6So4","ben","My favorite part  Sure  the rules were arbitrary and capricious before  and we had nobody to actually blame for decisionmaking  But now we can blame Musk  because the rules are arbitrary and capricious  "
"73","Yet another bizarre Washington Post slap at @elonmusk here. https://t.co/MlbsKXQSRS","ben","Yet another bizarre Washington Post slap at  elonmusk here  "
"74","RT @blakeflayton: Palestinians are not “still denied the right to self determination enshrined in international law.” They have themselves…","ben","RT  blakeflayton  Palestinians are not  still denied the right to self determination enshrined in international law   They have themselves "
"75","RT @realchrisrufo: @MZHemingway It's always the people you least expect.","ben","RT  realchrisrufo   MZHemingway It s always the people you least expect "
"76","Why Zeldin? Zeldin ran an extraordinary race against an incumbent governor in a state that went for Cuomo by 23 points; he lost to Hochul by under 6. That overperformance allowed Republicans to keep the House by helping downticket Congresspeople.","ben","Why Zeldin  Zeldin ran an extraordinary race against an incumbent governor in a state that went for Cuomo by 23 points  he lost to Hochul by under 6  That overperformance allowed Republicans to keep the House by helping downticket Congresspeople "
"77","Somebody make me the case why Ronna McDaniel should maintain her job at the RNC. She took over in 2017 and has presided over a blowout in 2018, a presidential loss in 2020, two run-off losses in 2021, and the loss of the Senate and wild GOP House underperformance in 2022.","ben","Somebody make me the case why Ronna McDaniel should maintain her job at the RNC  She took over in 2017 and has presided over a blowout in 2018  a presidential loss in 2020  two run off losses in 2021  and the loss of the Senate and wild GOP House underperformance in 2022 "
"78","Fun to see how the White House is very, very upset with ""misinformation"" on Twitter but apparently has nothing to say about Apple disabling Airdrop in China just before protests broke out. https://t.co/6B5OoxCauF","ben","Fun to see how the White House is very  very upset with  misinformation  on Twitter but apparently has nothing to say about Apple disabling Airdrop in China just before protests broke out  "
"79","We'll see if he fleas.","ben","We ll see if he fleas "
"80","They'll probably have to put a paws on his federal job.","ben","They ll probably have to put a paws on his federal job "
"81","It's a dog-eat-dog world. But at least the police made the collar.","ben","It s a dog eat dog world  But at least the police made the collar "
"82","Well, I always assumed this person had a lot of baggage","ben","Well  I always assumed this person had a lot of baggage"
"83","Impossible. This person, we were assured, is totally normal in every possible way YOU BIGOT https://t.co/1Uw25zlYUb","ben","Impossible  This person  we were assured  is totally normal in every possible way YOU BIGOT "
"84","RT @SethDillon: The young Jewish girl you call a terrorist is playing a role in preventing real world harm by drawing attention to the wide…","ben","RT  SethDillon  The young Jewish girl you call a terrorist is playing a role in preventing real world harm by drawing attention to the wide "
"85","RT @jasonrantz: NEW: WA State knowingly hired a prolific offender (12 days after a jail booking), promoting him to a $118k salary, despite…","ben","RT  jasonrantz  NEW  WA State knowingly hired a prolific offender  12 days after a jail booking   promoting him to a $118k salary  despite "
"86","RT @sagesteele: Turned the big 5-0 yesterday and TBH..I’ve been dreading this bday bc 50 sounds so...old!  I’ve also been kinda sad that ti…","ben","RT  sagesteele  Turned the big 5 0 yesterday and TBH  I ve been dreading this bday bc 50 sounds so   old   I ve also been kinda sad that ti "
"87","RT @disclosetv: NEW - British Prime Minister Rishi Sunak declares the ""golden era"" between the UK and China is over. https://t.co/8tCbWQfdIc","ben","RT  disclosetv  NEW   British Prime Minister Rishi Sunak declares the  golden era  between the UK and China is over  "
"88","RT @SenMikeLee: Bad news: The RFMA—without sufficient protections for religious liberty—just progressed further in the Senate.
 
Good news:…","ben","RT  SenMikeLee  Bad news  The RFMA without sufficient protections for religious liberty just progressed further in the Senate 
 
Good news  "
"89","News flash: if you stump for the limitless killing of the unborn, seek legalized gender mutilation for minors, and advocate indoctrination of children by state employees against the values of their parents, you're not the party of ""protecting children."" https://t.co/zUnTXWWZeT","ben","News flash  if you stump for the limitless killing of the unborn  seek legalized gender mutilation for minors  and advocate indoctrination of children by state employees against the values of their parents  you re not the party of  protecting children   "
"90","RT @davereaboi: Props to @Timcast for hosting this. I don’t know how anyone can watch this and not conclude that Kanye is deeply unwell, an…","ben","RT  davereaboi  Props to  Timcast for hosting this  I don t know how anyone can watch this and not conclude that Kanye is deeply unwell  an "
"91","RT @realDailyWire: Daily Wire's @LukeRosiak tells @TuckerCarlson about his investigation into @JetBlue's hiring of a violent felon: ""They w…","ben","RT  realDailyWire  Daily Wire s  LukeRosiak tells  TuckerCarlson about his investigation into  JetBlue s hiring of a violent felon   They w "
"92","RT @DKThomp: There is a 100% chance that this graph is a core reason for America's surge of anxiety and depression. 

Time spent with other…","ben","RT  DKThomp  There is a 100  chance that this graph is a core reason for America s surge of anxiety and depression  

Time spent with other "
"93","RT @Timcast: lol","ben","RT  Timcast  lol"
"94","RT @greg_price11: Timcast co-host @Lukewearechange said that Ye told him as he was leaving the studio ""you don't believe in my truths."" htt…","ben","RT  greg price11  Timcast co host  Lukewearechange said that Ye told him as he was leaving the studio  you don t believe in my truths   htt "
"95","RT @MattsIdeaShop: @elonmusk https://t.co/wVWZFLQ4ug","ben","RT  MattsIdeaShop   elonmusk "
"96","RT @MarinaMedvin: What a headline https://t.co/Rv3UYaIBI1","ben","RT  MarinaMedvin  What a headline "
"97","RT @RubinReport: I haven’t seen all this but good for @Timcast for trying.

Fuentes is a racist little troll rat and Kanye is just lost and…","ben","RT  RubinReport  I haven t seen all this but good for  Timcast for trying 

Fuentes is a racist little troll rat and Kanye is just lost and "
"98","RT @JeffOnTheRight: I don't know the chick's name that just came on, but she said Ye, Fuentes, and Yiannapoulos got a car and left, so I gu…","ben","RT  JeffOnTheRight  I don t know the chick s name that just came on  but she said Ye  Fuentes  and Yiannapoulos got a car and left  so I gu "
"99","RT @SwipeWright: Kanye West just stormed out of a livestream on @Timcast because Pool refused to go along with West's antisemitic and consp…","ben","RT  SwipeWright  Kanye West just stormed out of a livestream on  Timcast because Pool refused to go along with West s antisemitic and consp "
"100","RT @NoahPollak: Gotta admire Politico's devotion to the narrative, no matter how ludicrous. Real gender dysphoria is so incredibly rare it'…","ben","RT  NoahPollak  Gotta admire Politico s devotion to the narrative  no matter how ludicrous  Real gender dysphoria is so incredibly rare it  "
"101","RT @MrAndyNgo: Sam Brinton, a deputy assistant secretary in the Department of Energy who is praised for being a nonbinary-identifying trans…","ben","RT  MrAndyNgo  Sam Brinton  a deputy assistant secretary in the Department of Energy who is praised for being a nonbinary identifying trans "
"102","RT @realDailyWire: Trans person Natalie Bingham on CNN says Colorado shooter isn't non-binary because it is ""obvious from the mugshot, that…","ben","RT  realDailyWire  Trans person Natalie Bingham on CNN says Colorado shooter isn t non binary because it is  obvious from the mugshot  that "
"103","RT @realDailyWire: .@benshapiro reacts to Justin Trudeau appearing on Canada's Drag Race:

""The values of the West have gone completely out…","ben","RT  realDailyWire    benshapiro reacts to Justin Trudeau appearing on Canada s Drag Race 

 The values of the West have gone completely out "
"104","RT @elonmusk: The Twitter Files on free speech suppression soon to be published on Twitter itself. The public deserves to know what really…","ben","RT  elonmusk  The Twitter Files on free speech suppression soon to be published on Twitter itself  The public deserves to know what really "
"105","RT @yaf: Privilege without perspective has turned this generation soft. @benshapiro https://t.co/CfDAWj8Nwv","ben","RT  yaf  Privilege without perspective has turned this generation soft   benshapiro "
"106","RT @CultureCrave: Disney’s #StrangeWorld bombs at the box office with $18.6M domestically in its first 5 days 

The film is projected to lo…","ben","RT  CultureCrave  Disney s  StrangeWorld bombs at the box office with $18 6M domestically in its first 5 days 

The film is projected to lo "
"107","RT @BasedMikeLee: My amendment to the RFMA—which would allow the bill to protect both religious freedom and same-sex marriage—should be ado…","ben","RT  BasedMikeLee  My amendment to the RFMA which would allow the bill to protect both religious freedom and same sex marriage should be ado "
"108","RT @BjornLomborg: All grey: what the Paris Agreement needs to cut to reach its 1.5°C target

Black: what it actually promises

Read my peer…","ben","RT  BjornLomborg  All grey  what the Paris Agreement needs to cut to reach its 1 5C target

Black  what it actually promises

Read my peer "
"109","RT @realDailyWire: Watch the making of our Truth Bomb!

Made of 6061 aircraft grade aluminum, this beautifully-crafted collectible is sure…","ben","RT  realDailyWire  Watch the making of our Truth Bomb 

Made of 6061 aircraft grade aluminum  this beautifully crafted collectible is sure "
"110","RT @wesyang: They are always telling on themselves","ben","RT  wesyang  They are always telling on themselves"
"111","RT @poepilled: Ye deleted this post and videos with nick/milo 😬😬😬😬 https://t.co/CchML945yW","ben","RT  poepilled  Ye deleted this post and videos with nick milo  "
"112","@jordanbpeterson @megynkelly @Ravarora1 Happy birthday @megynkelly!","ben"," jordanbpeterson  megynkelly  Ravarora1 Happy birthday  megynkelly "
"113","RT @baseballcrank: My all-time favorite NFL player. Astounding that he played the game with such flair &amp; pizzazz, yet remained such a humbl…","ben","RT  baseballcrank  My all time favorite NFL player  Astounding that he played the game with such flair  amp  pizzazz  yet remained such a humbl "
"114","RT @mgurri: The more we crave authenticity, the more we get lost in the herd...
https://t.co/3cFcNvwfTX","ben","RT  mgurri  The more we crave authenticity  the more we get lost in the herd   
"
"115","RT @elonmusk: https://t.co/KZ7jeME3AX","ben","RT  elonmusk  "
"116","RT @lnmackenzie1: One of the UK's leading campaigners on violence against women and girls is barred from joining the Labour party. Yes, you…","ben","RT  lnmackenzie1  One of the UK s leading campaigners on violence against women and girls is barred from joining the Labour party  Yes  you "
"117","RT @neontaster: wtf is this wording?","ben","RT  neontaster  wtf is this wording "
"118","RT @ianbremmer: china censoring world cup crowds on state tv to keep population from seeing maskless faces","ben","RT  ianbremmer  china censoring world cup crowds on state tv to keep population from seeing maskless faces"
"119","RT @RyanGirdusky: To say these numbers are bad for Republicans is a wild understatement","ben","RT  RyanGirdusky  To say these numbers are bad for Republicans is a wild understatement"
"120","RT @MattsIdeaShop: @benshapiro Kanye - who wants to be in politics - is shocked to discover that e-mail rentals exist.","ben","RT  MattsIdeaShop   benshapiro Kanye   who wants to be in politics   is shocked to discover that e mail rentals exist "
"121","Unbelievably weak statement https://t.co/rtyUMPucSu","ben","Unbelievably weak statement "
"122","RT @onlyyoontv: Beijing recovering from weekend of lockdowns, stockpiling, and these👇: arguably most open show of resistance to Communist P…","ben","RT  onlyyoontv  Beijing recovering from weekend of lockdowns  stockpiling  and these  arguably most open show of resistance to Communist P "
"123","RT @AGHamilton29: Reminder: If you see anything from Aaron Rupar, Rex Chapman, or Ron Filipkowski, you should start with the assumption it…","ben","RT  AGHamilton29  Reminder  If you see anything from Aaron Rupar  Rex Chapman  or Ron Filipkowski  you should start with the assumption it "
"124","RT @MrAndyNgo: Wow. @Shopify's CEO issued a response refusing to cave in to an intimidation campaign led by leftist cancel activist, @nando…","ben","RT  MrAndyNgo  Wow   Shopify s CEO issued a response refusing to cave in to an intimidation campaign led by leftist cancel activist   nando "
"125","Oh, and FYI https://t.co/aIg9GYMT61","ben","Oh  and FYI "
"126","Sadly, you've trashed yourself. You didn't need my help. It wasn't me. It wasn't the Jews. It was just you. https://t.co/CILKzuZZgd","ben","Sadly  you ve trashed yourself  You didn t need my help  It wasn t me  It wasn t the Jews  It was just you  "
"127","RT @axios: Public outrage over new COVID lockdown restrictions has fueled rare protests within China, with residents demanding the governme…","ben","RT  axios  Public outrage over new COVID lockdown restrictions has fueled rare protests within China  with residents demanding the governme "
"128","Oh https://t.co/QsfLFBvpjF","ben","Oh "
"129","RT @ianbremmer: protests against xi’s zero covid policies continuing today. here from wuhan. so far, very limited state response. (ht @whyy…","ben","RT  ianbremmer  protests against xi s zero covid policies continuing today  here from wuhan  so far  very limited state response   ht  whyy "
"130","RT @JackPosobiec: The protests in Shanghai are taking place right down the street from the US Consulate 

Not a single official or member o…","ben","RT  JackPosobiec  The protests in Shanghai are taking place right down the street from the US Consulate 

Not a single official or member o "
"131","A good way not to accidentally dine with a vile racist and anti-Semite you don't know is not to dine with a vile racist and anti-Semite you do know.","ben","A good way not to accidentally dine with a vile racist and anti Semite you don t know is not to dine with a vile racist and anti Semite you do know "
"132","RT @breeadail: #BREAKING: Vatican condemns CCP ""ordination"" of ""bishop"". Does this end Sino-Vatican deal?

News comes a day after Chinese c…","ben","RT  breeadail   BREAKING  Vatican condemns CCP  ordination  of  bishop   Does this end Sino Vatican deal 

News comes a day after Chinese c "
"133","RT @realDailyWire: Black Friday Deals Matter.

Tired of brands selling out to the woke Left? #SkipCyberWoke this Black Friday and save 40%…","ben","RT  realDailyWire  Black Friday Deals Matter 

Tired of brands selling out to the woke Left   SkipCyberWoke this Black Friday and save 40  "
"134","RT @dailywireplus: God’s word impacts society in many ways, some of which we have yet to fully comprehend. In this feature-length documenta…","ben","RT  dailywireplus  God s word impacts society in many ways  some of which we have yet to fully comprehend  In this feature length documenta "
"135","RT @WeeWillyWinker: Sharing my #LeftistTears with my grateful foul brethren! Happy Thanksgiving @benshapiro and @realDailyWire gang from th…","ben","RT  WeeWillyWinker  Sharing my  LeftistTears with my grateful foul brethren  Happy Thanksgiving  benshapiro and  realDailyWire gang from th "
