"","full_text","Handle","text"
"20","RT @IssuesOn1: A forecast from @FiveThirtyEight shows Republicans are favored to win the House in the midterm election. @alexcoheninla aske…","barbara","RT  IssuesOn1  A forecast from  FiveThirtyEight shows Republicans are favored to win the House in the midterm election   alexcoheninla aske "
"21","Our hearts are with the loving Pelosi family. Our thoughts are dark about the political climate. We have a way to resolve differences. It’s called voting.","barbara","Our hearts are with the loving Pelosi family  Our thoughts are dark about the political climate  We have a way to resolve differences  It s called voting "
"22","RT @IssuesOn1: Inflation and the economy are likely to be top issues driving voters to the polls. @alexcoheninla asked @BarbaraBoxer which…","barbara","RT  IssuesOn1  Inflation and the economy are likely to be top issues driving voters to the polls   alexcoheninla asked  BarbaraBoxer which "
"23","True that John Fetterman  is recovering from a  stroke and showed endless courage. Dr. Oz did not miss one outrageous word as he proudly told women of Pa. to get abortion permission from local elected officials. Vote your freedoms. Stand for courage @johnfetterman","barbara","True that John Fetterman  is recovering from a  stroke and showed endless courage  Dr  Oz did not miss one outrageous word as he proudly told women of Pa  to get abortion permission from local elected officials  Vote your freedoms  Stand for courage  johnfetterman"
"24","RT @BarbaraBoxer: The OZIAN slip (up):
He wants a woman to get Ok for abortion from her local elected official. So whom should she call?
Th…","barbara","RT  BarbaraBoxer  The OZIAN slip  up  
He wants a woman to get Ok for abortion from her local elected official  So whom should she call 
Th "
"25","The OZIAN slip (up):
He wants a woman to get Ok for abortion from her local elected official. So whom should she call?
The mayor? governor? water board  commissioner? mosquito abatement district rep?Please clarify.women are anxious to add phone number to contacts.@johnfetterman","barbara","The OZIAN slip  up  
He wants a woman to get Ok for abortion from her local elected official  So whom should she call 
The mayor  governor  water board  commissioner  mosquito abatement district rep Please clarify women are anxious to add phone number to contacts  johnfetterman"
"26","Crime your issue? Highest % of gun deaths per state: 9 out of ten states are red!                                Check it out. https://t.co/D8XCnubnry(firearm mortality by state)
#votebluein2022","barbara","Crime your issue  Highest   of gun deaths per state  9 out of ten states are red                                 Check it out  "
"27","Vote economy!
Jobs:                   Biden:+10 million/2yrs                      Trump: -2.9 million/4 yrs                Clinton: +23 million/8 yrs.                       GW Bush:+3million/8 yrs.                 Obama: +11million/8 yrs
 Poorest states:9 of 10 red!#VoteBlue","barbara","Vote economy 
Jobs                    Biden +10 million 2yrs                      Trump   2 9 million 4 yrs                Clinton  +23 million 8 yrs                        GW Bush +3million 8 yrs                  Obama  +11million 8 yrs
 Poorest states 9 of 10 red  VoteBlue"
"28","RT @JoyAnnReid: Did y’all hear that???? These Republicans are trying to send Arizona back to 1864 when men set the age of consent for girls…","barbara","RT  JoyAnnReid  Did y all hear that     These Republicans are trying to send Arizona back to 1864 when men set the age of consent for girls "
"29","RT @BarbaraBoxer: Historic job creation. Historic deficit reduction. Historic student loan forgiveness. Historic infrastructure bill. Histo…","barbara","RT  BarbaraBoxer  Historic job creation  Historic deficit reduction  Historic student loan forgiveness  Historic infrastructure bill  Histo "
"30","Historic job creation. Historic deficit reduction. Historic student loan forgiveness. Historic infrastructure bill. Historic veterans legislation. Global inflation. Imagine fighting inflation without the above.#VoteBlue2022","barbara","Historic job creation  Historic deficit reduction  Historic student loan forgiveness  Historic infrastructure bill  Historic veterans legislation  Global inflation  Imagine fighting inflation without the above  VoteBlue2022"
"31","Hair police in Iran. Education police in Afghanistan. Voting police in Florida. Abortion police in states across USA. 
Just a peek at red America. Not to mention gutting Social Security, Medicare, ACA, student loan help.#votebluein2022","barbara","Hair police in Iran  Education police in Afghanistan  Voting police in Florida  Abortion police in states across USA  
Just a peek at red America  Not to mention gutting Social Security  Medicare  ACA  student loan help  votebluein2022"
"32","Whether inflation is your biggest issue,or a woman’s protection from big brother,or you worry about victims of rape, hate, or the right to marry, or job creation, or a warming planet ,or sensible gun laws to reduce violence, or democracy itself, the only choice is #VoteBlue2022","barbara","Whether inflation is your biggest issue or a woman s protection from big brother or you worry about victims of rape  hate  or the right to marry  or job creation  or a warming planet  or sensible gun laws to reduce violence  or democracy itself  the only choice is  VoteBlue2022"
"33","Trump wonders why Jewish community doesn’t love him even though he says he could be elected in Israel.
1.Jewish voters vote FOR and IN America…so duh    2. Jewish voters as a rule do not like racism, fascism, sexism or demagogues.               #voteblueOrWeAreScrewed","barbara","Trump wonders why Jewish community doesn t love him even though he says he could be elected in Israel 
1 Jewish voters vote FOR and IN America so duh    2  Jewish voters as a rule do not like racism  fascism  sexism or demagogues                 voteblueOrWeAreScrewed"
"34","Tragic mass  shooting  in N.Carolina. A fifteen year old gunman. It’s exhausting to think about but we must hold those candidates accountable who claim to be crime fighters but do nothing but hold hands with NRA.
#voteblue2022","barbara","Tragic mass  shooting  in N Carolina  A fifteen year old gunman  It s exhausting to think about but we must hold those candidates accountable who claim to be crime fighters but do nothing but hold hands with NRA 
 voteblue2022"
"35","Thank you @SpeakerPelosi and leaders of Congress for making sure democracy held while a mad President fiddled and rolled little steel balls between his fingers. #voteblue2022","barbara","Thank you  SpeakerPelosi and leaders of Congress for making sure democracy held while a mad President fiddled and rolled little steel balls between his fingers   voteblue2022"
"36","RT @JoeBiden: So much is at stake in these midterm elections, folks. https://t.co/6faoJ4nwia","barbara","RT  JoeBiden  So much is at stake in these midterm elections  folks  "
"37","RT @ReverendWarnock: Georgians deserve better than Herschel Walker.","barbara","RT  ReverendWarnock  Georgians deserve better than Herschel Walker "
"38","RT @itsJeffTiedrich: Democrats just increased your monthly Social Security check by 8.7%. Republicans want to abolish Social Security. any…","barbara","RT  itsJeffTiedrich  Democrats just increased your monthly Social Security check by 8 7   Republicans want to abolish Social Security  any "
"39","RT @BarbaraBoxer: Nury Martinez says her heart is broken as she resigns from public office. Hopefully forever. Did she think about hearts s…","barbara","RT  BarbaraBoxer  Nury Martinez says her heart is broken as she resigns from public office  Hopefully forever  Did she think about hearts s "
"40","Nury Martinez says her heart is broken as she resigns from public office. Hopefully forever. Did she think about hearts she broke with her racist slams against..well everybody…except herself! Proud that democrats put country over party. The other LA council participants must go.","barbara","Nury Martinez says her heart is broken as she resigns from public office  Hopefully forever  Did she think about hearts she broke with her racist slams against  well everybody except herself  Proud that democrats put country over party  The other LA council participants must go "
"41","RT @BarbaraBoxer: Thank you @alexpadilla4CA and @joebiden for leadership in the horrifying racist scandal in Los Angeles. We Democrats must…","barbara","RT  BarbaraBoxer  Thank you  alexpadilla4CA and  joebiden for leadership in the horrifying racist scandal in Los Angeles  We Democrats must "
"42","Thank you @alexpadilla4CA and @joebiden for leadership in the horrifying racist scandal in Los Angeles. We Democrats must call this hatred out wherever it is. A councilwoman was hateful and racist and two colleagues let the hate go on unimpeded. They all must go.","barbara","Thank you  alexpadilla4CA and  joebiden for leadership in the horrifying racist scandal in Los Angeles  We Democrats must call this hatred out wherever it is  A councilwoman was hateful and racist and two colleagues let the hate go on unimpeded  They all must go "
"43","Rumor has it that Republicans  are adding an exception to their national abortion ban. It’s going to be allowed for Republican officeholders who have paid for an abortion…whoops! …two abortions.
#VoteBlueToSaveDemocracy","barbara","Rumor has it that Republicans  are adding an exception to their national abortion ban  It s going to be allowed for Republican officeholders who have paid for an abortion whoops   two abortions 
 VoteBlueToSaveDemocracy"
"44","RT @JoeBiden: Our economy created 263,000 jobs last month. That's 10 million jobs since I came into office—the fastest job growth at any po…","barbara","RT  JoeBiden  Our economy created 263 000 jobs last month  That s 10 million jobs since I came into office the fastest job growth at any po "
"45","Dangerous Republicans double down on hate.
Any woman, minority, member of LGBT community, anyone troubled by gun violence, anyone who cares about jobs, Social Security, Medicare, climate change, democracy and freedom, should walk away from hate and #vote","barbara","Dangerous Republicans double down on hate 
Any woman  minority  member of LGBT community  anyone troubled by gun violence  anyone who cares about jobs  Social Security  Medicare  climate change  democracy and freedom  should walk away from hate and  vote"
"46","There’s hypocrisy and HYPOCRISY.
Walker pays  doctor for abortion he caused but his legislation would make others like him criminals and the doctor would go to jail. He lies and lies. Pro life voters have a choice as do voters who hate hypocrisy. @Reverendwarnock","barbara","There s hypocrisy and HYPOCRISY 
Walker pays  doctor for abortion he caused but his legislation would make others like him criminals and the doctor would go to jail  He lies and lies  Pro life voters have a choice as do voters who hate hypocrisy   Reverendwarnock"
"47","Stand with @reverendwarnock in the face of extreme hypocrisy by his opponent who secretly supports abortion for his own situations but would criminalize  abortion even in cases of rape.Even forcing births on child victims. Ugh.","barbara","Stand with  reverendwarnock in the face of extreme hypocrisy by his opponent who secretly supports abortion for his own situations but would criminalize  abortion even in cases of rape Even forcing births on child victims  Ugh "
"48","Senate candidate Walker secretly financed an abortion for a pregnancy he caused. But for everyone else he says it’s murder and a crime. Georgia,do not  stand with a hypocrite for  Senate  regardless of your party. Stand strong with @reverendwalker","barbara","Senate candidate Walker secretly financed an abortion for a pregnancy he caused  But for everyone else he says it s murder and a crime  Georgia do not  stand with a hypocrite for  Senate  regardless of your party  Stand strong with  reverendwalker"
"49","RT @DanAncona: omg","barbara","RT  DanAncona  omg"
"50","RT @ChrisMurphyCT: “Upon being killed, the puppies were allegedly left in a garbage bag with living puppies who were their littermates.”

W…","barbara","RT  ChrisMurphyCT   Upon being killed  the puppies were allegedly left in a garbage bag with living puppies who were their littermates  

W "
"51","Those republicans who beg for relief for their Florida people should beg for forgiveness for opposing such relief when others outside their state were suffering mightily.
#votebluein2022","barbara","Those republicans who beg for relief for their Florida people should beg for forgiveness for opposing such relief when others outside their state were suffering mightily 
 votebluein2022"
"52","RT @IssuesOn1: A new bipartisan bill aims to prevent future efforts to overturn presidential election results by amending the Electoral Cou…","barbara","RT  IssuesOn1  A new bipartisan bill aims to prevent future efforts to overturn presidential election results by amending the Electoral Cou "
"53","RT @IssuesOn1: The House committee investigating the Jan. 6th insurrection postponed this week's scheduled hearing because of Hurricane Ian…","barbara","RT  IssuesOn1  The House committee investigating the Jan  6th insurrection postponed this week s scheduled hearing because of Hurricane Ian "
"54","Thinking of Florida friends. DeSantis  is rightly thanking our President for his immediate effort to help DeSantis administration. Maybe DeSantis can stop purposely hurting Biden administration with his corrupt stunt to use Latin America immigrants as pawns to use and embarrass.","barbara","Thinking of Florida friends  DeSantis  is rightly thanking our President for his immediate effort to help DeSantis administration  Maybe DeSantis can stop purposely hurting Biden administration with his corrupt stunt to use Latin America immigrants as pawns to use and embarrass "
"55","If GOP takes House they’ll impeach POTUS .What high crimes? Creating the most jobs? Calming a raging pandemic? Helping students? Supporting choice? Fighting inflation? Combating climate change? Passing infrastructure law? Fighting for equality and democracy?Stop them!#voteblue","barbara","If GOP takes House they ll impeach POTUS  What high crimes  Creating the most jobs  Calming a raging pandemic  Helping students  Supporting choice  Fighting inflation  Combating climate change  Passing infrastructure law  Fighting for equality and democracy Stop them  voteblue"
"56","Read the House GOP pitch, “Commitment to America”, partner to the announced Senate GOP 
“Rescue America”plan. For starters:
Cut Social Security, Medicare,veterans care, raise taxes on middle class. Freudian slip: Russian scenes part of GOP presentation.let’s say “nyet”! #Vote","barbara","Read the House GOP pitch   Commitment to America   partner to the announced Senate GOP 
 Rescue America plan  For starters 
Cut Social Security  Medicare veterans care  raise taxes on middle class  Freudian slip  Russian scenes part of GOP presentation let s say  nyet    Vote"
"57","RT @guardianogeloso: @BarbaraBoxer Hi BB!! Give us a push in Missouri Senate race! We don’t want Josh Hawley x 2 in the Senate, plotting to…","barbara","RT  guardianogeloso   BarbaraBoxer Hi BB   Give us a push in Missouri Senate race  We don t want Josh Hawley x 2 in the Senate  plotting to "
"58","We condemn vicious Iranian morality police and we must send a  November message to morality elected officials here who are taking away women’s rights:we are sending you home  because you disrespect our daughters, and we will stop you from hurting them.#VoteBlue2022","barbara","We condemn vicious Iranian morality police and we must send a  November message to morality elected officials here who are taking away women s rights we are sending you home  because you disrespect our daughters  and we will stop you from hurting them  VoteBlue2022"
"59","Just heard of an amazing house in California. When you want to sell it, it magically grows to 20,000 square feet. When you want to pay your property taxes, it magically shrinks to 2000  square  feet. To learn more read “The Art of the Con”and #VoteBlue2022","barbara","Just heard of an amazing house in California  When you want to sell it  it magically grows to 20 000 square feet  When you want to pay your property taxes  it magically shrinks to 2000  square  feet  To learn more read  The Art of the Con and  VoteBlue2022"
"60","Unhinged Lindsey Graham wants to decide a woman’s most personal decision with a national abortion ban that puts him in charge with the rest of the creepy Senators who agree with him. Women and every friend to women need to #VoteBlue2022","barbara","Unhinged Lindsey Graham wants to decide a woman s most personal decision with a national abortion ban that puts him in charge with the rest of the creepy Senators who agree with him  Women and every friend to women need to  VoteBlue2022"
"61","DeSantis says  he intends to use every penny of a twelve million fund dollar fund to continue his show humiliating  Hispanic families.  Rumor has it he is going to dip into his book burning fund to continue this Sin Against God show.","barbara","DeSantis says  he intends to use every penny of a twelve million fund dollar fund to continue his show humiliating  Hispanic families   Rumor has it he is going to dip into his book burning fund to continue this Sin Against God show "
"62","What the heck does Lindsey Graham know that gives him the right to tell women what they have to do with their own bodies? I’ll tell him what to do with his body right now… Jump in the lake, cool down and rip up your national abortion ban.#WomensRights","barbara","What the heck does Lindsey Graham know that gives him the right to tell women what they have to do with their own bodies  I ll tell him what to do with his body right now  Jump in the lake  cool down and rip up your national abortion ban  WomensRights"
"63","Trump aligns himself with a cult that says Trump will be placed on the throne again and his enemies will be executed on television. I can’t believe I just wrote this but I do believe we must defeat the new republican party that worships this cult leader.#VoteBlueToSaveAmerica","barbara","Trump aligns himself with a cult that says Trump will be placed on the throne again and his enemies will be executed on television  I can t believe I just wrote this but I do believe we must defeat the new republican party that worships this cult leader  VoteBlueToSaveAmerica"
"64","These self proclaimed religious governors who want control over women’s bodies, forcing their beliefs onto women, seem to forget the strong language of the Bible to “take care of foreigners and love them as yourself”. You Republican phonies are now making God mad.
#VoteBlue2022","barbara","These self proclaimed religious governors who want control over women s bodies  forcing their beliefs onto women  seem to forget the strong language of the Bible to  take care of foreigners and love them as yourself   You Republican phonies are now making God mad 
 VoteBlue2022"
"65","Biggest fraud in America?Republican Party walks away with it! They cheer states rights for abortion regulation but when it goes really sour,as in many deadly dangerous laws,they now introduce a national  abortion ban to deflect. We see you! #VoteBlueIn2022","barbara","Biggest fraud in America Republican Party walks away with it  They cheer states rights for abortion regulation but when it goes really sour as in many deadly dangerous laws they now introduce a national  abortion ban to deflect  We see you   VoteBlueIn2022"
"66","On 9/11 we were attacked from the outside. Our first responders were heroes. We united and our country endured. On 1/6 we were attacked from the inside. Our first responders were heroes. We will know if our country endures in November.
#VoteBlueToSaveDemocracy","barbara","On 9 11 we were attacked from the outside  Our first responders were heroes  We united and our country endured  On 1 6 we were attacked from the inside  Our first responders were heroes  We will know if our country endures in November 
 VoteBlueToSaveDemocracy"
"67","She persisted. Through every crisis personal and political she persisted. Whatever her thoughts, she led with optimism through the toughest times. RIP Queen Elizabeth","barbara","She persisted  Through every crisis personal and political she persisted  Whatever her thoughts  she led with optimism through the toughest times  RIP Queen Elizabeth"
"68","Just read that Melania felt violated by FBI search. She should blame her husband for refusing to return documents he stole. Those documents belong to America and it is America that was violated.       #VoteBlueIn2022","barbara","Just read that Melania felt violated by FBI search  She should blame her husband for refusing to return documents he stole  Those documents belong to America and it is America that was violated         VoteBlueIn2022"
"69","Thank you for speaking truth to straight out lies. https://t.co/2bwhNJijJa","barbara","Thank you for speaking truth to straight out lies  "
"70","Trump says the red background color at President Biden’s strong pro-democracy speech reminded him of the devil. Hmmmm has he checked on the MAGA color scheme? DO not vote RED #votebluein2022","barbara","Trump says the red background color at President Biden s strong pro democracy speech reminded him of the devil  Hmmmm has he checked on the MAGA color scheme  DO not vote RED  votebluein2022"
"71","Blocked by republicans in senate. https://t.co/XEdYvcA0ky","barbara","Blocked by republicans in senate  "
"72","Sure you know that republicans filibustered Roe in senate. That’s why we need more democrats unless we want to see forced births even in cases of rape or incest https://t.co/XEdYvcA0ky","barbara","Sure you know that republicans filibustered Roe in senate  That s why we need more democrats unless we want to see forced births even in cases of rape or incest "
"73","Any other human caught red-handed stealing anything, let alone secret documents,would be on their knees praying for forgiveness not attending rallies,preening, slashing, and burning.@POTUS is far too polite when he says “not normal”.It’s insane, dangerous,un-American.#voteblue","barbara","Any other human caught red handed stealing anything  let alone secret documents would be on their knees praying for forgiveness not attending rallies preening  slashing  and burning  POTUS is far too polite when he says  not normal  It s insane  dangerous un American  voteblue"
"74","Call MAGA Republicans what they are and they whine and snivel. Methinks they doth protest too much. Put another way: They’re full of it.
#VoteThemOut","barbara","Call MAGA Republicans what they are and they whine and snivel  Methinks they doth protest too much  Put another way  They re full of it 
 VoteThemOut"
"75","Thank you!gotta find the  humor  if possible https://t.co/XyBK5GSken","barbara","Thank you gotta find the  humor  if possible "
"76","Turns out the Big Steal wasn’t the 2020 election! It was all those “overdue books” hidden at the Florida country club.#VoteBlueIn2022","barbara","Turns out the Big Steal wasn t the 2020 election  It was all those  overdue books  hidden at the Florida country club  VoteBlueIn2022"
"77","Thank you @potus for speaking truth. Truth is a tonic for the poison spewed forth by trump and his maga followers. You are brave to call out extremists. They may shout hate toward you but you are not afraid of them.Lets vote for sanity and democracy in midterms.#votebluein2022","barbara","Thank you  potus for speaking truth  Truth is a tonic for the poison spewed forth by trump and his maga followers  You are brave to call out extremists  They may shout hate toward you but you are not afraid of them Lets vote for sanity and democracy in midterms  votebluein2022"
"78","Voters of Alaska just decided that Sarah Palin will still see Russia from her porch. Every day.
Thank you!
#votebluein2022","barbara","Voters of Alaska just decided that Sarah Palin will still see Russia from her porch  Every day 
Thank you 
 votebluein2022"
"79","Trump’s tirade today reminds me that in 1972 I lost my election for County Supervisor. Looking back I realize reporters went easy on my opponent. 😡So  I now declare that I definitely would’ve won and I call for an immediate election so I can reclaim that office.","barbara","Trump s tirade today reminds me that in 1972 I lost my election for County Supervisor  Looking back I realize reporters went easy on my opponent  So  I now declare that I definitely would ve won and I call for an immediate election so I can reclaim that office "
"80","Lindsey Graham was petrified on January 6. He told Donald Trump to go to hell. Now he’s practically inviting a civil war if Trump is charged for stealing secret documents and/or our democracy.Message to a panicked Graham: don’t predict disaster, do everything to prevent it.","barbara","Lindsey Graham was petrified on January 6  He told Donald Trump to go to hell  Now he s practically inviting a civil war if Trump is charged for stealing secret documents and or our democracy Message to a panicked Graham  don t predict disaster  do everything to prevent it "
"81","RT @IssuesOn1: @BarbaraBoxer told @alexcoheninla, GOP Rep. Mike Garcia comparing Biden administration to 'Third Reich' over FBI's Trump rai…","barbara","RT  IssuesOn1   BarbaraBoxer told  alexcoheninla  GOP Rep  Mike Garcia comparing Biden administration to  Third Reich  over FBI s Trump rai "
"82","Thank you to those patriots who came to the aid of their country by coming forward to report secret documents stored in an unauthorized place. You can’t do this as a former president, a former tv host or a crime boss. #VoteBlue2022","barbara","Thank you to those patriots who came to the aid of their country by coming forward to report secret documents stored in an unauthorized place  You can t do this as a former president  a former tv host or a crime boss   VoteBlue2022"
"83","RT @BarbaraBoxer: Wah.Wah. Some voices complaining about helping relieve student loan debt. Guess they never met folks who told me they wer…","barbara","RT  BarbaraBoxer  Wah Wah  Some voices complaining about helping relieve student loan debt  Guess they never met folks who told me they wer "
"84","Wah.Wah. Some voices complaining about helping relieve student loan debt. Guess they never met folks who told me they were on Medicare but still paying off their loans. Thank you @potus for keeping your promise. It’s wonderful for millions of Americans.","barbara","Wah Wah  Some voices complaining about helping relieve student loan debt  Guess they never met folks who told me they were on Medicare but still paying off their loans  Thank you  potus for keeping your promise  It s wonderful for millions of Americans "
"85","RT @BarbaraBoxer: Don’t call the measurers of the drapes just yet Kevin McCarthy! It is just possible that Americans value their freedom, t…","barbara","RT  BarbaraBoxer  Don t call the measurers of the drapes just yet Kevin McCarthy  It is just possible that Americans value their freedom  t "
"86","Don’t call the measurers of the drapes just yet Kevin McCarthy! It is just possible that Americans value their freedom, their democracy, their privacy and their unity over your hero worship of a failed,corrupt Ex-president who unleashes division,hatred and autocracy.#voteblue","barbara","Don t call the measurers of the drapes just yet Kevin McCarthy  It is just possible that Americans value their freedom  their democracy  their privacy and their unity over your hero worship of a failed corrupt Ex president who unleashes division hatred and autocracy  voteblue"
"87","Whew! Mitch McConnell says our democracy is safe.I guess he forgot about running for his life on jan6, the fake elector scheme, the evisceration of voting rights and privacy rights,stolen documents,book banning.#voteblue in2022","barbara","Whew  Mitch McConnell says our democracy is safe I guess he forgot about running for his life on jan6  the fake elector scheme  the evisceration of voting rights and privacy rights stolen documents book banning  voteblue in2022"
"88","Since the end of Roe,politicians are forcing children to have a rapist’s child saying it is “healing”.They might “heal” their own child in that way but hear this: voters will force you to keep your hands off their private choices by voting in November.
#votebluein2022","barbara","Since the end of Roe politicians are forcing children to have a rapist s child saying it is  healing  They might  heal  their own child in that way but hear this  voters will force you to keep your hands off their private choices by voting in November 
 votebluein2022"
"89","Making sure we have funds for roads,bridges, social security,Medicare, disasters etc relies on everyone paying a fair share. Democrats clear that super wealthy should pay too. Republicans attack IRS making them an IRS party: Irresponsible,Rich-loving Sycophants.       #voteblue","barbara","Making sure we have funds for roads bridges  social security Medicare  disasters etc relies on everyone paying a fair share  Democrats clear that super wealthy should pay too  Republicans attack IRS making them an IRS party  Irresponsible Rich loving Sycophants         voteblue"
"90","Most Republican Wyoming voters followed the mindless drumbeat from a defeated, dangerous, demagogue. Thanks to those who put country over party. #votebluein2022","barbara","Most Republican Wyoming voters followed the mindless drumbeat from a defeated  dangerous  demagogue  Thanks to those who put country over party   votebluein2022"
"91","Let’s see: Your stuff is really my stuff even though you probably planted your stuff which makes it my stuff and I want it back!
#VoteBlueIn2022","barbara","Let s see  Your stuff is really my stuff even though you probably planted your stuff which makes it my stuff and I want it back 
 VoteBlueIn2022"
"92","A former president of America stealing secret documents to share with whom? Hollywood would reject this terrifying script due to its crazy premise. Republican Members of Congress where do you stand on espionage? #votebluein2022","barbara","A former president of America stealing secret documents to share with whom  Hollywood would reject this terrifying script due to its crazy premise  Republican Members of Congress where do you stand on espionage   votebluein2022"
"93","Ok former President Trump: Show us your search warrant! The documents listed don’t belong to you. They belong to We The People. Give us back our stuff.","barbara","Ok former President Trump  Show us your search warrant  The documents listed don t belong to you  They belong to We The People  Give us back our stuff "
